EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
582554,ATOKA CO.,CANEY,05/25/2015,1410,EF3,0,1,0,0,OK,CST-6, ,96565,C,5,OUN,0,0,Emergency Manager, ,5.3,700,5,SSE,1,E,CANEY,34.157,-96.1792,34.2308,-96.1856,"The tornado moved into Atoka County from Bryan County and moved generally north dissipating east of Caney. Homes suffered significant damage in Atoka County (DI 2, up to DOD 8) and one injury was reported east of Caney.","As an upper level trough continued to move over the central plains, storms formed ahead of a cold front in west Texas. These storms formed a line as the moved eastward and developed northward into Oklahoma.",11
574167,BOULDER CO.,HIGHLAND,06/04/2015,1730,EF3,0,0,0,0,CO,MST-7, ,94918,C,13,BOU,0,0,Trained Spotter, ,5.84,440,0,N,5,ENE,LYONS,40.25,-105.08,40.26,-105.19,"The tornado first touched about 3 miles south of Berthoud, and then tracked to the west/northwest and lifted about 6 miles southwest of Berthoud. The majority of the damage was EF1, with some areas of EF2, and a few small areas of EF3.  At least 25 homes between Longmont and Berthoud were damaged; three of them destroyed.  No injuries were reported as the winds tore apart homes and rolled vehicles.","Severe thunderstorms broke out across Boulder, Denver, Elbert, Jefferson and Larimer Counties.  Two large and long lived tornadoes developed in Larimer County near Berthoud and near Simla in Elbert County.  The tornado that occurred along the Boulder and Larimer county line was rated an EF3 at it's highest damage point, with maximum winds estimated at 135 to 140 mph.  The path length was 6 miles long with a width of one quarter mile at times.  In Elbert County, 17 tornadoes touched down, with EF1 damage observed southwest and southeast of Simla.  Four homes suffered severe damage; two were uninhabitable.  In addition, two other homes suffered moderate damage with slight damage reported to eight other residences.  Large hail up to baseball size occurred in Elbert County, with hail up to tennis ball size observed in Boulder County.  The hail damaged cars and homes; breaking windows and windshields.",12
574168,LARIMER CO.,BERTHOUD,06/04/2015,1803,EF3,0,0,0,0,CO,MST-7, ,94918,C,69,BOU,0,0,Trained Spotter, ,0.87,440,6,WSW,7,WSW,BERTHOUD,40.26,-105.19,40.27,-105.2,The tornado contiinued its track into Larimer County.  At least 25 homes between Longmont and Berthoud were damaged; three of them destroyed.  No injuries were reported as the winds tore apart homes and rolled vehicles.,"Severe thunderstorms broke out across Boulder, Denver, Elbert, Jefferson and Larimer Counties.  Two large and long lived tornadoes developed in Larimer County near Berthoud and near Simla in Elbert County.  The tornado that occurred along the Boulder and Larimer county line was rated an EF3 at it's highest damage point, with maximum winds estimated at 135 to 140 mph.  The path length was 6 miles long with a width of one quarter mile at times.  In Elbert County, 17 tornadoes touched down, with EF1 damage observed southwest and southeast of Simla.  Four homes suffered severe damage; two were uninhabitable.  In addition, two other homes suffered moderate damage with slight damage reported to eight other residences.  Large hail up to baseball size occurred in Elbert County, with hail up to tennis ball size observed in Boulder County.  The hail damaged cars and homes; breaking windows and windshields.",13
580233,MONROE CO.,WELLER,06/22/2015,1610,EF3,0,0,150000,20000,IA,CST-6, ,95971,C,135,DMX,0,0,NWS Storm Survey, ,9.4,575,3,NW,2,WSW,HITEMAN,41.145,-93.0991,41.058,-92.9603,"This powerful tornado entered from Lucas County. The tornado reached its peak intensity of EF-3 in NW Monroe County, where a house was completely swept off its foundation. Extensive tree damage was also noted in this area.","In the afternoon storms fired up ahead of and along a cold front that was entering Iowa from the northwest.  Numerous storms had severe hail, produced damaging winds, and two tornadoes. The first tornado was on the ground for several miles tracking through portions of Marion, Lucas and Monroe Counties. The second tornado formed just west of Albia and struck the town of Albia damaging several homes and businesses. Flash flooding was also reported in Davis and Monroe Counties.",14
590644,GRUNDY CO.,PAYTONVILLE,06/22/2015,2045,EF3,0,7,25000000,0,IL,CST-6, ,98155,C,63,LOT,0,0,NWS Storm Survey, ,7.7,1320,3,ESE,1,S,DIAMOND,41.3082,-88.3823,41.2641,-88.2462,"The tornado touched down near Higgins Road and Dupont Road where softwood trees were snapped. The tornado moved east-southeast where trees and power poles were snapped along N Gorman Road.  The most significant damage was noted as the tornado crossed S Carbon Hill Road just south of Division Street, entering Coal City. Dozens of homes were heavily damaged in Coal City with three completely destroyed.  Two of these homes were well built and had at least part of their structure bolted down to the foundation with bolts secured by nuts.  Two high tension metal trusses were downed including one that was crumpled along Hunters Run.  Hundreds of trees were snapped or uprooted.  Numerous utility poles were downed.  Peak winds were estimated to be 160 mph with a max width of three quarters of a mile.  The tornado continued into Will County.  (Tornado 8a of 10).","During the evening of June 22, twelve tornadoes occurred across northern Illinois, including ten in the WFO Chicago forecast area.  Ten of the twelve were spawned from a single long-lived cyclic supercell, which tracked across Whiteside, Lee, LaSalle, Grundy, Will, and Kankakee Counties.  The heaviest damage was in Coal City (Grundy County) and Braidwood (Will County) which was caused by an EF-3 tornado with maximum winds of 160 mph, and the Woodhaven Campground in Sublette (Lee County) caused by an EF-2 tornado with maximum winds of 130 mph.  There were 14 injuries reported.  There were no fatalities.  The EF-3 Coal City to Braidwood tornado was the strongest tornado in Grundy County since an F3 tornado struck on July 17, 1972.  The atmosphere was primed for severe weather, with very warm, humid conditions, low pressure moving north of the region, and a strong jet stream aloft.  An outflow boundary from earlier storms during the late morning and early afternoon may have been key to where the long-lived tornado-producing storm tracked.  In addition to tornado and wind damage, slow moving storms brought torrential rainfall of locally up to 3 to 5 inches to portions of Lee, Grundy, Will, and Kankakee counties, resulting in widespread flash flooding.  This rain fell on top of soil already saturated from repeated heavy rains over the past few weeks.",15
580032,RENO CO.,NICKERSON,07/13/2015,1741,EF3,0,0,250000,0,KS,CST-6, ,96443,C,155,ICT,0,0,Trained Spotter, ,3.7,350,4,ENE,2,SE,NICKERSON,38.1732,-98.0129,38.133,-98.058,A strong tornado moved southwest towards the town of Nickerson.  One home was completely destroyed as it was blown off of its foundation.  There were no anchor bolts present in the foundation (DI2 DOD9).  The second more significant damage sight was where many trees were completely uprooted.  Those that were not uprooted only had the main trunk left and it was completely debarked.  The home took a glancing blow and only had minor damage.  The family took shelter in an above ground shelter in their garage. The damage path for this portion of the tornado that moved out of Rice County was 350 yards wide.,A strong tornado moved southwest from Rice into Reno county causing significant damage to two different homesteads.  One home was completely demolished while another took a glancing blow.  Numerous trees were uprooted and those that were not had a significant amount of debarking.  Several other storms moved across the area producing severe wind and hail.,16
609658,SEWARD CO.,HAYNE,11/16/2015,1738,EF3,0,0,0,0,KS,CST-6, ,101889,C,175,DDC,0,0,NWS Storm Survey, ,18.56,1900,4,W,7,NNE,KISMET,37.0933,-100.8699,37.2834,-100.6453,"This very large tornado damaged outbuildins, power poles, pivots, trees, a home, and a hog farm were numerous animals were destroyed.  The track of the tornado turned enough that it missed Kismet and Plains.  It was also on nearly an identical track to the tornado that occurred on May 24, 2015.  This tornado continued into Meade county.","An unusually strong November severe weather episode occurred across the region.  A very strong upper level low approached with with strong winds aloft.  An unusually high amount of moisture and unseasonably unstable airmass were transported north into Kansas.  Storms developed along a dry line but quickly moved off the dryline and became supercellular.  Large, long tracked and rapidly moving tornadoes occurred along with instances of large and damaging hail.",17
608861,GRAY CO.,KINGS MILL,11/16/2015,1820,EF3,0,0,0,0,TX,CST-6, ,101782,C,179,AMA,0,0,NWS Storm Survey, ,23.16,750,13,SSE,4,ENE,HOOVER,35.299,-101.021,35.6204,-100.776,This long track tornado caused damage mainly to power lines and trees due to its rural track. It was the first tornado to pass near Pampa. Some trees were debarked and completely defoliated leaving only the trunks. The collapse of a high tension power line metal truss tower is the basis for the EF-3 rating. Maximum winds were estimated to be 140 mph. The tornado continued into Roberts County.,"A powerful storm system brought significant severe weather to the region. Tornadoes, damaging winds, and large hail accompanied thunderstorms that formed during the afternoon hours and persisted into the evening. This was a very unusual event for late fall in the Central High Plains. One significant factor in this anomalous event was the presence of an unusual amount of moisture for mid-November, contributing to relatively high values of instability. No tornadoes had previously been documented in the Texas Panhandle during the month of November.",18
608862,ROBERTS CO.,CODMAN,11/16/2015,1900,EF3,0,0,0,0,TX,CST-6, ,101782,C,393,AMA,0,0,NWS Storm Survey, ,8.7,750,2,SW,5,WNW,MIAMI,35.6204,-100.776,35.7333,-100.7073,This long track tornado moved into Roberts County from Gray County and caused damage mainly to power lines and trees due to its rural track. It was the first tornado to pass near Pampa. Some trees were debarked and completely defoliated leaving only the trunks. The collapse of a high tension power line metal truss tower is the basis for the EF-3 rating. Maximum winds were estimated to be 140 mph.,"A powerful storm system brought significant severe weather to the region. Tornadoes, damaging winds, and large hail accompanied thunderstorms that formed during the afternoon hours and persisted into the evening. This was a very unusual event for late fall in the Central High Plains. One significant factor in this anomalous event was the presence of an unusual amount of moisture for mid-November, contributing to relatively high values of instability. No tornadoes had previously been documented in the Texas Panhandle during the month of November.",19
608859,GRAY CO.,PAMPA,11/16/2015,1906,EF3,0,0,0,0,TX,CST-6, ,101782,C,179,AMA,0,0,NWS Storm Survey, ,10.92,500,5,S,1,SSE,HOOVER,35.457,-100.966,35.58,-100.844,This tornado was produced by the second supercell thunderstorm to impact the Pampa area and the same storm which resulted in the Groom tornado. The most significant damage was to the Halliburton Plant just east of Pampa. Sturdy commercial steel framed building at the Halliburton Plant were completely leveled with nmerous vehicles tossed on top of the rubble. This tornado was less than 3 miles from directly hitting the city of Pampa. One manufactured home was completely destroyed south of Pampa. This tornado was rated EF-3 with maximum winds estimated to be 155 mph based on the degree of damage.,"A powerful storm system brought significant severe weather to the region. Tornadoes, damaging winds, and large hail accompanied thunderstorms that formed during the afternoon hours and persisted into the evening. This was a very unusual event for late fall in the Central High Plains. One significant factor in this anomalous event was the presence of an unusual amount of moisture for mid-November, contributing to relatively high values of instability. No tornadoes had previously been documented in the Texas Panhandle during the month of November.",20
610224,COAHOMA CO.,AFRICA,12/23/2015,1501,EF3,2,19,600000,0,MS,CST-6, ,102065,C,27,MEG,0,0,NWS Storm Survey, ,14.53,800,2,SSE,4,NE,CLAREMONT,34.0499,-90.6598,34.1695,-90.451,This tornado developed over Northern Bolivar County and moved into Coahoma County. It strengthened and produced EF-3 damage south and east of Clarksdale where the two fatalities occurred. Twelve homes and two businesses were destroyed. Two homes also suffered minor damage. Numerous trees were snapped or uprooted. The tornado continued into Quitman County.,"Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to rapidly intensify. Three tornadoes touched down across North Mississippi including an EF-4 that caused severe damage.",21
610230,QUITMAN CO.,SABINO,12/23/2015,1517,EF3,0,7,734000,0,MS,CST-6, ,102065,C,119,MEG,0,0,NWS Storm Survey, ,18.68,800,4,SW,4,E,DARLING,34.1695,-90.451,34.3402,-90.1974,The tornado moved from Coahoma County into Quitman County and temporarily weakened. The tornado damaged nearly 20 homes to the west and southwest of Marks. The tornado then tracked into Panola County.,"Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to rapidly intensify. Three tornadoes touched down across North Mississippi including an EF-4 that caused severe damage.",22
610231,PANOLA CO.,CURTIS STATION,12/23/2015,1535,EF3,0,2,1000000,0,MS,CST-6, ,102065,C,107,MEG,0,0,NWS Storm Survey, ,23.87,800,3,WNW,5,W,GLENVILLE,34.3402,-90.1974,34.5175,-89.8379,This tornado moved from Quitman County into Panola County. Numerous trees were snapped or uprooted. As the tornado approached Interstate 55 the tornado damaged several homes. This is where the tornado reached peak intensity with winds estimated at 160 mph. The tornado crossed Interstate 55 between Sardis and Como and then dissipated east of Como. A total of 29 homes were affected in Panola. Eight homes were either destroyed or suffered major damage.,"Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to rapidly intensify. Three tornadoes touched down across North Mississippi including an EF-4 that caused severe damage.",23
610234,TATE CO.,TYRO,12/23/2015,1610,EF4,0,0,5000,0,MS,CST-6, ,102065,C,137,MEG,0,0,NWS Storm Survey, ,2.4,1300,1,NNW,3,SSE,WYATTE,34.5955,-89.7055,34.6131,-89.6691,The tornado developed over Southeast Tate County. The tornado caused minor roof damage to a house in Tyro before moving into Marshall County.,"Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to rapidly intensify. Three tornadoes touched down across North Mississippi including an EF-4 that caused severe damage.",24
610235,MARSHALL CO.,CHULAHOMA,12/23/2015,1612,EF4,2,30,5000000,0,MS,CST-6, ,102065,C,93,MEG,0,0,NWS Storm Survey, ,25.14,1300,3,SW,5,ENE,HIGDON,34.6131,-89.6691,34.8117,-89.2983,The tornado tracked into Marshall County from Tate County. As it moved into Marshall County the tornado heavily damaged several homes along Highway 4. The tornado produced damage to a church and surrounding trees southwest of Holly Springs that approached EF-4. The tornado moved across the southeastern edge of Holly Springs causing EF-2 to EF-3 damage. Numerous trees were uprooted or snapped. About 200 homes were damaged in Marshall County. Two fatalities occurred in Marshall County along with at least 30 injuries. The tornado then tracked into Benton County.,"Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to rapidly intensify. Three tornadoes touched down across North Mississippi including an EF-4 that caused severe damage.",25
